id,latitude,longitude,price,neighbourhood_cleansed,review_scores_rating,availability_365
8817182,37.7679192,-122.4201876,$200.00 ,Mission,100,365
1863316,37.76908911,-122.4217075,$83.00 ,Mission,90,3
16898265,37.75016336,-122.4118471,$315.00 ,Mission,93,46
5019863,37.75865034,-122.4252964,$160.00 ,Mission,95,89
11016379,37.75133595,-122.4218832,$450.00 ,Mission,99,349
4485844,37.7533923,-122.4136982,$84.00 ,Mission,95,335
13686891,37.75806252,-122.4079352,$150.00 ,Mission,94,96
7985260,37.76171459,-122.4220239,$100.00 ,Mission,60,365
15521441,37.75940969,-122.408415,$80.00 ,Mission,100,302
9918068,37.76025311,-122.4071318,$95.00 ,Mission,98,152
726657,37.76284331,-122.4244322,$279.00 ,Mission,93,58
4494959,37.75530262,-122.4203073,$76.00 ,Mission,87,91
8739,37.7591889,-122.4223669,$149.00 ,Mission,98,327
14027256,37.75756184,-122.4073059,$110.00 ,Mission,97,91
985261,37.76470375,-122.4217387,$165.00 ,Mission,91,334
15394942,37.76585748,-122.4243219,$90.00 ,Mission,96,23
693721,37.7597155,-122.4209252,$500.00 ,Mission,99,362
14406178,37.75581652,-122.4242125,$200.00 ,Mission,100,227
13764783,37.75882064,-122.4249976,$210.00 ,Mission,99,287
15734872,37.75129969,-122.4112113,$119.00 ,Mission,100,22
6261031,37.75393355,-122.4172323,$325.00 ,Mission,95,47
17590024,37.75489855,-122.4124558,$124.00 ,Mission,100,83
5591544,37.75445786,-122.423989,$299.00 ,Mission,97,351
15634918,37.75588748,-122.4093678,$350.00 ,Mission,100,6
15954036,37.76683394,-122.4199602,$70.00 ,Mission,93,37
1774026,37.75564583,-122.4241035,$490.00 ,Mission,95,151
16208102,37.7571262,-122.4108266,$295.00 ,Mission,100,8
12964066,37.75010638,-122.4168012,$145.00 ,Mission,97,16
10638522,37.75319372,-122.4160625,$153.00 ,Mission,100,10
8868880,37.75061167,-122.409267,$90.00 ,Mission,89,37
12159120,37.75747196,-122.4146763,$575.00 ,Mission,97,156
11228293,37.76815413,-122.4213228,$450.00 ,Mission,94,359
2704229,37.76771219,-122.4183692,$66.00 ,Mission,96,4
5617847,37.76004109,-122.4180927,$125.00 ,Mission,98,352
3344631,37.7515348,-122.4178214,$208.00 ,Mission,90,356
2823227,37.75327024,-122.4063559,$195.00 ,Mission,96,276
2020393,37.76952587,-122.4217808,$197.00 ,Mission,96,262
1152027,37.75088201,-122.4069108,$140.00 ,Mission,89,357
6378495,37.75821116,-122.4196859,$89.00 ,Mission,93,146
3311711,37.76878984,-122.417432,$125.00 ,Mission,97,336
7345170,37.75034972,-122.4245763,$210.00 ,Mission,100,365
17159165,37.765684,-122.4064963,$225.00 ,Mission,96,45
185289,37.76467038,-122.4228019,$125.00 ,Mission,86,16
1053666,37.75697616,-122.4112585,$180.00 ,Mission,96,325
5821380,37.75785801,-122.4177764,$350.00 ,Mission,98,238
16245090,37.7631565,-122.4082978,$100.00 ,Mission,100,3
1005642,37.76202152,-122.4233468,$115.00 ,Mission,97,192
1692470,37.76010979,-122.4236328,$108.00 ,Mission,98,6
12571474,37.75321514,-122.4219727,$75.00 ,Mission,85,23
4559621,37.76223192,-122.421022,$69.00 ,Mission,86,145
